point_id;loss_sum_2013;loss_sum_2014;loss_sum_2015;loss_sum_2016;loss_sum_2017;loss_sum_2018;loss_sum_2019
3679_0;163;52;0;20;1417;26;42
3687_0;121;301;391;202;236;131;325
3689_0;0;0;5;76;124;0;138
3694_0;50;75;373;453;662;426;588
3715_0;116;273;100;36;81;427;420
188557_0;0;0;0;0;0;0;0
188559_0;1;3243;4855;20146;3151;340;348
188589_0;100;412;173;108;317;42;56
188593_0;0;0;0;0;0;0;0
188597_0;193;406;33;100;182;404;127
145913_0;4;16;0;140;138;190;99
145918_0;0;0;0;0;1;0;0
145923_0;58;44;2;276;0;13;0
145930_0;402;1165;150;306;1419;948;372
145932_0;36;0;300;29;1292;156;1507
145941_0;28;69;75;35;14;4;327
145951_0;1000;1264;307;1330;998;227;641
145952_0;3;0;0;0;0;0;0
145959_0;651;658;310;558;366;862;95
1649_0;483;245;385;324;1375;1767;7075
1656_0;0;0;10;171;9600;4532;758
1661_0;0;0;0;0;0;0;0
1669_0;0;0;0;0;0;0;0
1681_0;0;0;0;0;6;0;0
57710_0;91;7;279;249;177;475;606
57732_0;0;0;0;0;7;0;18
57748_0;248;444;503;446;1915;525;339
57749_0;4;10;354;15;3;0;0
57750_0;71;350;459;930;547;419;431
57761_0;165;313;175;258;971;336;99
147073_0;283;46;0;1;42;237;0
147076_0;49;2;34;74;181;153;3410
147077_0;6;192;76;317;43;0;68
147086_0;77;307;4;0;30;26;48
147091_0;0;2;0;0;7;0;0
147098_0;80;911;2930;393;1263;1427;17
147099_0;0;0;47;0;2;0;0
147105_0;25;0;0;0;0;0;0
147111_0;11;12;79;24;277;1;28
147118_0;2;0;0;0;2;0;0
147131_0;108;268;510;342;1339;165;566
166727_0;14;120;0;4;0;4;3
166728_0;96;1929;702;671;387;258;59
166743_0;36;17;5;1;2;58;0
166744_0;39;36;0;2;984;0;0
166745_0;1;4;0;0;0;0;0
166748_0;0;66;346;0;7;593;37
166750_0;148;510;272;723;583;205;689
166770_0;264;301;198;859;770;676;305
226798_0;3;10;0;86;0;0;17
226799_0;183;499;97;937;682;941;20
226819_0;6;126;52;838;4827;62;0
226843_0;38;101;67;103;272;306;29
226858_0;521;1924;154;91;286;33;1159
245777_0;61;97;54;112;654;1042;305
245782_0;20;32;289;23;319;80;171
245786_0;450;161;125;131;282;92;93
245800_0;5;1;1;0;0;0;0
245805_0;7;138;80;333;566;328;916
245813_0;23;225;410;347;1612;173;110
245822_0;13;0;8;0;0;0;0
209842_0;9;1632;1754;2816;991;302;851
209851_0;8;0;0;0;0;0;0
209854_0;0;0;14;51;12;0;30
209857_0;442;362;287;541;717;175;186
209866_0;1;4;0;0;7;444;21
209876_0;0;3;9;0;0;0;0
209882_0;7;108;242;0;23;1;28
209898_0;8;0;0;3;0;0;0
117730_0;2326;1639;1365;1554;1678;658;1135
117736_0;74;49;263;98;102;71;124
117738_0;24;1457;0;76;2;50;23
117747_0;0;0;0;0;0;0;0
117760_0;0;0;0;0;0;0;0
117765_0;4;31;21;42;1587;200;24
117784_0;1;0;0;0;0;0;0
117786_0;7;15;16;15;0;73;33
117790_0;0;22;240;13;68;485;2
96321_0;0;0;374;17;198;14;0
96329_0;32;288;123;414;514;3236;910
96339_0;303;410;191;620;1827;46;134
96345_0;0;0;0;0;0;0;0
96358_0;3853;5746;5156;2893;2319;2014;3062
96363_0;315;606;344;738;388;334;92
125483_0;19;66;11;12;1328;1822;278
125503_0;63;1088;80;1472;766;293;653
125525_0;2;265;59;301;110;2;38
125527_0;0;0;0;10;13;1;23
125533_0;0;3;2;0;0;0;0
54901_0;721;2081;14;1749;4159;94;17
54915_0;17;339;37;0;50;4;15
54917_0;367;400;495;1032;688;51;2608
54919_0;0;0;0;0;0;0;0
54921_0;62;206;221;86;1388;137;351
54949_0;5;2;2;3;97;1;0
54960_0;0;0;0;16;1;0;0
142808_0;1;0;0;0;1;0;0
142813_0;1;6;0;17;0;30;4
142814_0;37;19;2;387;450;490;94
142824_0;13;17;5;132;296;124;15
142828_0;118;180;8;67;169;80;249
142838_0;4;0;0;0;0;0;0
142845_0;0;0;0;1;0;0;6
243760_0;8;4;1;22;28;1;72
243777_0;257;199;4;2;75;30;225
243780_0;25;112;0;1084;416;857;1146
243791_0;2;16;1;2;0;0;4
243792_0;115;336;853;961;1007;209;839
243799_0;1;51;74;798;18106;142;866
243806_0;125;9534;14;249;2295;532;1230
183433_0;361;1779;515;2036;2760;3553;1772
183442_0;32;29;1003;4264;56;381;10
183453_0;753;1783;292;36;37;36;102
183457_0;0;0;3;1;0;0;0
183468_0;287;741;314;1528;1244;41;269
183470_0;841;2393;130;479;905;240;424
183482_0;1;0;0;0;3;0;0
173126_0;1;4;0;3;5;0;17
173136_0;26;4;1;1886;1089;99;619
173144_0;0;0;0;0;0;0;0
173150_0;0;1;0;283;186;200;32
173154_0;0;0;0;11;0;0;0
173175_0;427;428;148;167;1;21;9
234484_0;4;103;231;2991;0;17;4
234502_0;548;1777;1669;786;1951;308;381
234515_0;175;163;261;204;2598;591;264
234524_0;0;2;0;0;0;14;0
234527_0;4;17;0;1;0;0;0
234530_0;0;0;0;0;0;0;0
234531_0;5;1004;2785;324;883;58;73
136764_0;3;0;3;1;3;12;0
136768_0;6;29;81;265;217;285;2775
136774_0;110;68;332;11;842;614;5
136777_0;3;83;0;1413;21;12;34
136785_0;0;0;0;0;0;0;0
136797_0;742;5823;2986;1388;1393;123;404
136798_0;67;135;173;207;366;71;212
136815_0;0;0;0;0;9;0;0
136816_0;266;178;10;1242;430;205;78
136818_0;7619;3454;30;388;271;6;55
136819_0;0;7;164;42;571;188;319
246502_0;0;0;0;0;0;0;1
246548_0;0;0;0;5;0;0;0
246556_0;111;329;1071;902;1024;228;1050
246561_0;899;78;46;877;1721;808;559
246081_0;587;1232;914;2865;1500;1780;1339
246095_0;2;2;0;0;0;0;0
246113_0;267;356;106;473;349;16;85
246116_0;1;16;2;0;0;0;119
246120_0;55;3;4;0;12;53;67
147259_0;2;15;0;5;2;3;86
147280_0;1;0;0;2;28;0;0
147293_0;0;0;0;0;40;0;0
147295_0;316;342;165;1348;72;1080;282
74423_0;6;21;46;45;44;23;27
74424_0;29;0;0;5;10;0;0
74429_0;4;4;0;6;0;4;0
74446_0;3;19;0;0;2;0;0
74453_0;132;531;312;193;283;211;64
74478_0;10;54;31;535;923;142;139
126880_0;167;54;36;21;724;261;3
126889_0;0;0;0;0;3;0;3
126891_0;0;0;0;0;2;0;0
126908_0;27;142;8;0;37;25;25
126917_0;0;0;0;0;0;0;0
126926_0;0;0;0;0;3;0;0
205082_0;1;0;0;0;0;0;0
205097_0;66;142;906;1634;4293;367;614
205110_0;247;501;335;1026;1628;311;483
205111_0;0;0;0;0;1;0;0
205117_0;87;891;460;1291;2887;2205;2790
205134_0;247;182;27;55;39;145;45
162696_0;48;16;4;417;38;2;2133
162703_0;0;4;0;4;7;59;34
162712_0;0;0;68;1160;1094;815;546
162741_0;0;0;23;1;15;15;55
149271_0;4;34;20;84;23;5;66
149274_0;88;98;174;883;487;228;146
149314_0;16;15;60;88;1493;71;18
149315_0;0;2;0;59;0;378;9
149320_0;61;303;0;75;323;6549;1266
149324_0;0;0;499;199;878;10;30
149327_0;50;342;84;566;1304;342;443
236268_0;1;4;6;0;1;0;0
236269_0;7;0;0;0;54;202;469
236304_0;19;552;122;289;909;0;419
236306_0;48;66;67;171;44;18;168
236313_0;0;13;0;22;1211;382;357
163859_0;89;194;198;696;327;100;119
163862_0;1;746;629;1810;82;828;1900
163866_0;14;1;0;2;0;0;0
163868_0;115;63;24;14;1;2242;196
163875_0;516;2130;1917;5640;2352;794;661
163879_0;266;177;57;132;152;79;127
163880_0;1;47;0;1;54;16;0
163885_0;0;7;10;0;0;0;0
163894_0;23;226;0;7;106;2;36
106204_0;10;30;3;143;201;36;27
106235_0;35;8;0;16;0;0;0
106236_0;207;633;616;830;3545;1103;2054
106243_0;51;35;68;275;603;7;1
106244_0;86;876;410;16;265;1617;474
106256_0;9;1;22;160;2961;8115;6876
106259_0;0;41;74;0;182;0;188
140244_0;240;58;61;82;16;12;47
140246_0;0;2;40;100;109;63;8
140255_0;213;4;0;0;5;0;0
140265_0;0;0;0;0;0;0;0
140279_0;10;5;2;5;63;4;0
140288_0;9;0;0;0;0;255;1
140293_0;2;2;0;0;0;0;0
196665_0;761;365;321;489;1058;685;362
196674_0;2;11;52;24;1;38;872
196675_0;1;16;0;4;5;0;3
196676_0;259;1089;440;1740;530;432;2248
196684_0;1;2;0;0;355;253;31
196690_0;17;78;245;615;1207;218;11
196702_0;0;1;0;0;0;4;0
196717_0;0;1;0;5;354;0;0
196720_0;6;7;0;0;0;0;0
149031_0;10;7;2;20;54;44;24
149036_0;1979;223;1398;643;357;282;172
149038_0;45;128;329;3515;264;275;1068
149047_0;42;837;113;4942;996;446;279
149048_0;2;0;0;0;0;0;0
149058_0;10;90;30;0;115;4391;14242
149066_0;68;334;381;2557;937;230;99
149077_0;5;1841;1633;1677;584;303;21
149082_0;0;6;113;266;57;0;0
62164_0;33;37;0;1;0;0;0
62169_0;49;59;34;79;2355;1886;2892
62170_0;484;609;630;870;903;1056;779
62203_0;1;14;0;0;0;15;0
62204_0;0;0;5;5;1;0;0
62209_0;246;536;753;1172;1139;768;947
62213_0;40;46;45;255;75;179;20
62215_0;0;0;0;0;0;0;8
15203_0;0;0;0;178;0;0;4
15210_0;0;21;0;1;9711;2251;0
15220_0;21;926;1950;1394;587;102;49
15222_0;73;22;2;2;3032;11;6
15234_0;1;0;0;0;1;0;0
247233_0;79;54;17;36;444;951;1
247250_0;0;0;0;0;0;0;0
247264_0;0;0;0;0;0;0;0
247265_0;0;0;0;0;0;0;0
247274_0;6;2;2;1;3;7;0
247275_0;12;33;43;272;1344;1124;107
247280_0;19;64;17;45;186;212;85
247290_0;0;0;0;0;0;0;0
140911_0;74;217;22;21;24;59;170
140915_0;530;1;0;10;0;0;0
140920_0;358;772;231;226;709;398;2471
140922_0;18;159;5;30;197;23;23
140953_0;5;48;51;37;28;0;0
140955_0;0;0;0;0;2;6;0
140962_0;141;540;137;1187;1672;777;3348
140970_0;2;0;0;0;3;19;0
144265_0;0;0;0;0;9;0;0
144270_0;263;68;14;214;41;119;187
144287_0;0;0;0;0;2;0;38
144292_0;50;465;398;125;34;502;235
144297_0;0;15;774;0;1120;20;57
144307_0;7;8;0;0;0;0;0
144312_0;355;494;134;933;561;9;38
144320_0;0;0;0;0;0;0;0
144325_0;32;9;124;447;326;128;903
242416_0;132;311;138;245;280;621;2463
242418_0;0;4;0;259;209;81;0
242426_0;0;0;0;0;1;0;0
242430_0;24;7;2;11858;276;132;111
242443_0;216;88;95;495;1410;292;1092
242445_0;0;0;0;0;0;0;0
242453_0;798;409;271;1448;1684;1306;432
242464_0;233;734;787;943;2223;1508;508
242469_0;478;410;81;506;1453;742;623
231252_0;84;23;82;26;35;46;37
231255_0;177;931;786;851;560;168;79
231261_0;683;1437;629;1136;1150;797;705
231264_0;164;222;145;335;1448;649;415
231266_0;56;346;86;15;225;17;30
231267_0;11;15;2;652;116;1035;108
231270_0;27;0;0;0;4;0;0
231287_0;19;35;58;33;127;204;761
231288_0;13;17;58;436;139;190;11
231290_0;0;0;0;2;28;0;0
231304_0;122;163;2929;1235;19984;9;34
17649_0;4;58;1178;1640;38;42;4
17665_0;188;160;847;2040;1663;6085;550
17687_0;69;83;70;323;855;164;0
122625_0;78;12;0;0;0;0;0
122634_0;11;0;0;0;12;9;0
122637_0;0;0;0;0;0;0;53
122645_0;0;0;0;0;1;0;0
122657_0;1;2;0;0;1;6;4
122660_0;61;56;109;240;297;95;43
122667_0;565;2115;1148;1713;3585;1678;851
122670_0;101;400;12365;19591;11911;2432;635
81071_0;2;0;6;0;970;3;743
81074_0;231;1010;108;1783;4676;840;251
81078_0;1219;6369;1308;2826;954;508;2521
81081_0;187;266;53;376;532;238;51
81100_0;5378;37;76;4;131;67;6
81103_0;22;2505;940;624;3376;385;1220
81109_0;0;118;0;301;0;0;0
81114_0;41;179;293;335;2074;625;23
81117_0;2;35;41;0;0;46;41
81119_0;985;1723;330;1229;435;1375;4455
81125_0;12;253;105;234;657;109;91
156404_0;20;34;7;60;602;705;771
156405_0;294;68;317;342;375;1382;2211
156411_0;4;3;0;16;215;26;1
156423_0;27;705;141;166;59;19;19
156434_0;35;98;34;89;35;12;227
156453_0;1217;2723;1644;2417;1722;172;111
156461_0;3;0;0;33;945;499;10
156463_0;0;0;0;0;0;0;0
23547_0;84;115;177;813;1407;374;16
23555_0;134;49;23;69;273;292;51
23561_0;132;680;872;369;1652;370;994
23563_0;3;4;0;0;3;0;2
23571_0;249;1203;3342;700;8550;26;543
23582_0;4;61;244;332;4412;4175;5271
23593_0;0;9;3;0;2454;444;7
23595_0;6;1;0;0;0;0;0
23597_0;1689;114;24;142;413;337;1365
235342_0;0;1;0;0;0;46;0
235348_0;634;1832;1162;36;41;37;161
235352_0;248;114;240;474;754;4195;375
235361_0;73;26;216;50;415;186;307
235363_0;362;231;707;439;778;288;225
235391_0;70;94;20;3;87;59;6
235394_0;0;0;0;0;2;0;8
205959_0;726;1592;854;1533;252;76;606
205963_0;0;0;0;5;0;0;13
205971_0;39;4;0;1;3;0;0
205973_0;0;0;89;2713;5;0;0
205982_0;0;6;5;17;118;65;0
205988_0;0;0;11;6;13631;8942;0
205989_0;0;7;0;0;0;0;0
205992_0;512;478;1476;739;522;893;907
205994_0;0;0;0;3;28;0;0
78836_0;333;4005;1784;948;910;403;156
78837_0;65;374;177;1206;2169;2174;65
78847_0;19;9;0;3;17;0;31
78850_0;5;77;439;220;733;982;915
78856_0;34;216;115;46;48;587;35
78861_0;0;0;0;0;0;0;0
78868_0;91;3;0;1;2;0;0
18853_0;35;140;285;644;479;101;202
18854_0;520;443;698;727;1296;1576;247
18892_0;164;22;0;40;3430;357;324
65714_0;23;67;56;20;104;46;57
65750_0;38;0;0;0;0;0;0
65751_0;152;278;1195;1929;997;2997;281
65753_0;0;0;0;0;2;0;0
65756_0;1;2;3;44;0;12;1
12085_0;95;33;68;21;102;50;5
12086_0;0;0;0;6;0;4;0
12090_0;252;738;511;2579;4003;775;5150
12109_0;208;34;250;394;405;739;134
12114_0;74;287;899;439;4498;653;671
12115_0;2;195;88;130;330;594;68
12120_0;2;56;1;17;44;2;10
192334_0;0;0;0;0;0;0;0
192336_0;50;219;48;96;820;86;41
192344_0;1;0;0;3;34918;256;0
192359_0;36;534;59;48;171;31;54
192366_0;6;12;53;465;107;16;121
192389_0;129;107;107;364;393;336;364
220771_0;66;184;254;1267;5805;423;32
220791_0;1;0;0;21;0;0;10
220802_0;5;1;0;44;681;2649;580
220803_0;80;159;83;1746;1647;2722;311
220804_0;6;0;0;0;0;0;10
220811_0;1418;104;0;1;60;75;4
220812_0;1;0;376;54;446;369;966
12694_0;4;14;4;214;511;38;2279
12695_0;0;45;0;0;357;27;0
12696_0;5;105;77;2;12;0;22
12704_0;680;1402;109;21;27;92;224
12721_0;0;0;0;2;14;21;0
12746_0;0;6;0;0;0;0;0
192030_0;56;122;183;256;368;115;299
192041_0;44;10;4;18;2;6;15
192052_0;1108;178;317;322;566;659;834
192061_0;25;625;114;172;1369;11164;1487
192077_0;0;0;0;36;16;0;0
192081_0;0;0;0;1;2;43;0
192088_0;0;0;0;0;0;0;0
201672_0;2;7;117;0;203;0;0
