,year,month,size,cloud_cover
0,2001,1,90,100.0
1,2001,2,94,100.0
2,2001,3,84,100.0
3,2001,4,114,100.0
4,2001,5,129,100.0
5,2001,6,165,100.0
6,2001,7,242,100.0
7,2001,8,248,100.0
8,2001,9,180,100.0
9,2001,10,165,100.0
10,2001,11,113,100.0
11,2001,12,82,100.0
12,2001,1,0,0.0
13,2001,2,0,0.0
14,2001,3,0,0.0
15,2001,4,0,0.0
16,2001,5,0,0.0
17,2001,6,0,0.0
18,2001,7,0,0.0
19,2001,8,0,0.0
20,2001,9,0,0.0
21,2001,10,0,0.0
22,2001,11,0,0.0
23,2001,12,0,0.0
24,2001,1,3,1.0
25,2001,2,4,1.0
26,2001,3,1,1.0
27,2001,4,9,1.0
28,2001,5,6,1.0
29,2001,6,28,1.0
30,2001,7,46,1.0
31,2001,8,98,1.0
32,2001,9,22,1.0
33,2001,10,9,1.0
34,2001,11,2,1.0
35,2001,12,0,1.0
36,2001,1,5,2.0
37,2001,2,5,2.0
38,2001,3,1,2.0
39,2001,4,15,2.0
40,2001,5,8,2.0
41,2001,6,37,2.0
42,2001,7,62,2.0
43,2001,8,119,2.0
44,2001,9,27,2.0
45,2001,10,17,2.0
46,2001,11,5,2.0
47,2001,12,0,2.0
48,2001,1,6,5.0
49,2001,2,6,5.0
50,2001,3,4,5.0
51,2001,4,19,5.0
52,2001,5,11,5.0
53,2001,6,52,5.0
54,2001,7,87,5.0
55,2001,8,148,5.0
56,2001,9,38,5.0
57,2001,10,27,5.0
58,2001,11,9,5.0
59,2001,12,1,5.0
60,2001,1,8,10.0
61,2001,2,10,10.0
62,2001,3,6,10.0
63,2001,4,26,10.0
64,2001,5,18,10.0
65,2001,6,63,10.0
66,2001,7,120,10.0
67,2001,8,166,10.0
68,2001,9,50,10.0
69,2001,10,44,10.0
70,2001,11,19,10.0
71,2001,12,2,10.0
72,2002,1,109,100.0
73,2002,2,79,100.0
74,2002,3,28,100.0
75,2002,4,4,100.0
76,2002,5,0,100.0
77,2002,6,0,100.0
78,2002,7,2,100.0
79,2002,8,5,100.0
80,2002,9,0,100.0
81,2002,10,0,100.0
82,2002,11,0,100.0
83,2002,12,0,100.0
84,2002,1,0,0.0
85,2002,2,0,0.0
86,2002,3,0,0.0
87,2002,4,0,0.0
88,2002,5,0,0.0
89,2002,6,0,0.0
90,2002,7,0,0.0
91,2002,8,0,0.0
92,2002,9,0,0.0
93,2002,10,0,0.0
94,2002,11,0,0.0
95,2002,12,0,0.0
96,2002,1,8,1.0
97,2002,2,1,1.0
98,2002,3,1,1.0
99,2002,4,1,1.0
100,2002,5,0,1.0
101,2002,6,0,1.0
102,2002,7,2,1.0
103,2002,8,1,1.0
104,2002,9,0,1.0
105,2002,10,0,1.0
106,2002,11,0,1.0
107,2002,12,0,1.0
108,2002,1,11,2.0
109,2002,2,2,2.0
110,2002,3,2,2.0
111,2002,4,1,2.0
112,2002,5,0,2.0
113,2002,6,0,2.0
114,2002,7,2,2.0
115,2002,8,2,2.0
116,2002,9,0,2.0
117,2002,10,0,2.0
118,2002,11,0,2.0
119,2002,12,0,2.0
120,2002,1,15,5.0
121,2002,2,9,5.0
122,2002,3,5,5.0
123,2002,4,1,5.0
124,2002,5,0,5.0
125,2002,6,0,5.0
126,2002,7,2,5.0
127,2002,8,3,5.0
128,2002,9,0,5.0
129,2002,10,0,5.0
130,2002,11,0,5.0
131,2002,12,0,5.0
132,2002,1,23,10.0
133,2002,2,19,10.0
134,2002,3,6,10.0
135,2002,4,1,10.0
136,2002,5,0,10.0
137,2002,6,0,10.0
138,2002,7,2,10.0
139,2002,8,5,10.0
140,2002,9,0,10.0
141,2002,10,0,10.0
142,2002,11,0,10.0
143,2002,12,0,10.0
144,2003,1,0,100.0
145,2003,2,0,100.0
146,2003,3,0,100.0
147,2003,4,0,100.0
148,2003,5,0,100.0
149,2003,6,22,100.0
150,2003,7,251,100.0
151,2003,8,229,100.0
152,2003,9,196,100.0
153,2003,10,189,100.0
154,2003,11,131,100.0
155,2003,12,106,100.0
156,2003,1,0,0.0
157,2003,2,0,0.0
158,2003,3,0,0.0
159,2003,4,0,0.0
160,2003,5,0,0.0
161,2003,6,0,0.0
162,2003,7,0,0.0
163,2003,8,0,0.0
164,2003,9,0,0.0
165,2003,10,0,0.0
166,2003,11,0,0.0
167,2003,12,0,0.0
168,2003,1,0,1.0
169,2003,2,0,1.0
170,2003,3,0,1.0
171,2003,4,0,1.0
172,2003,5,0,1.0
173,2003,6,0,1.0
174,2003,7,86,1.0
175,2003,8,48,1.0
176,2003,9,20,1.0
177,2003,10,6,1.0
178,2003,11,1,1.0
179,2003,12,3,1.0
180,2003,1,0,2.0
181,2003,2,0,2.0
182,2003,3,0,2.0
183,2003,4,0,2.0
184,2003,5,0,2.0
185,2003,6,0,2.0
186,2003,7,103,2.0
187,2003,8,64,2.0
188,2003,9,28,2.0
189,2003,10,8,2.0
190,2003,11,2,2.0
191,2003,12,6,2.0
192,2003,1,0,5.0
193,2003,2,0,5.0
194,2003,3,0,5.0
195,2003,4,0,5.0
196,2003,5,0,5.0
197,2003,6,2,5.0
198,2003,7,129,5.0
199,2003,8,80,5.0
200,2003,9,43,5.0
201,2003,10,13,5.0
202,2003,11,8,5.0
203,2003,12,10,5.0
204,2003,1,0,10.0
205,2003,2,0,10.0
206,2003,3,0,10.0
207,2003,4,0,10.0
208,2003,5,0,10.0
209,2003,6,4,10.0
210,2003,7,150,10.0
211,2003,8,101,10.0
212,2003,9,63,10.0
213,2003,10,26,10.0
214,2003,11,22,10.0
215,2003,12,14,10.0
216,2004,1,96,100.0
217,2004,2,81,100.0
218,2004,3,110,100.0
219,2004,4,140,100.0
